Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Comments.
..,DB,DBConnection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),This abstraction is used in the project. But designite can not detect its usage. 
..,DB,DBInterface,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Analytics,AnalyticsView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Analytics.controller,AnalyticsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Analytics.model,AnalyticsData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Analytics.model,AnalyticsData,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This has been refactored.
..,Modules.Booking,BookingView,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.ParkingSlot.controller,AddParkingSlot,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.ParkingSlot.controller,DeleteParkingSlot,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.ParkingSlot.controller,FindParkingSlots,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.ParkingSlot.database,ParkingSlotQueryBuilderDAO,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.ParkingSlot.model,ParkingSlot,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,Used for calling attributes of the model
..,Modules.ParkingSlot,ParkingSlotView,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Review.controller,AddReviewsAndRatings,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Review.model,Review,Unutilized Abstraction,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,This abstraction is used in the project. But designite can not detect its usage. 
..,Modules.Review.model,Review,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parking_slot_id; longitude; latitude; revenue_generated; total_hours; address,Used for calling attributes of the model
